abbr,category,jobtitle
KY,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
LA,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
ME,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
MD,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
MA,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
MI,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
MN,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
MS,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
MO,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
MT,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
NE,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
NV,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
NH,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
NJ,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
NM,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
NY,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
NC,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
ND,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
OH,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
OK,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
OR,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
PA,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
RI,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
SC,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
SD,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
TN,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
TX,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
UT,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
VT,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
VA,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
WA,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
WV,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
WI,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
WY,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
GU,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
PR,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
VI,Upper Management / Consulting,First-Line Supervisors of Housekeeping and Janitorial Workers
AL,Upper Management / Consulting,First-Line Supervisors of Landscaping
AK,Upper Management / Consulting,First-Line Supervisors of Landscaping
AZ,Upper Management / Consulting,First-Line Supervisors of Landscaping
AR,Upper Management / Consulting,First-Line Supervisors of Landscaping
CA,Upper Management / Consulting,First-Line Supervisors of Landscaping
CO,Upper Management / Consulting,First-Line Supervisors of Landscaping
CT,Upper Management / Consulting,First-Line Supervisors of Landscaping
DE,Upper Management / Consulting,First-Line Supervisors of Landscaping
DC,Upper Management / Consulting,First-Line Supervisors of Landscaping
FL,Upper Management / Consulting,First-Line Supervisors of Landscaping
GA,Upper Management / Consulting,First-Line Supervisors of Landscaping
HI,Upper Management / Consulting,First-Line Supervisors of Landscaping
ID,Upper Management / Consulting,First-Line Supervisors of Landscaping
IL,Upper Management / Consulting,First-Line Supervisors of Landscaping
IN,Upper Management / Consulting,First-Line Supervisors of Landscaping
IA,Upper Management / Consulting,First-Line Supervisors of Landscaping
KS,Upper Management / Consulting,First-Line Supervisors of Landscaping
KY,Upper Management / Consulting,First-Line Supervisors of Landscaping
LA,Upper Management / Consulting,First-Line Supervisors of Landscaping
ME,Upper Management / Consulting,First-Line Supervisors of Landscaping
MD,Upper Management / Consulting,First-Line Supervisors of Landscaping
MA,Upper Management / Consulting,First-Line Supervisors of Landscaping
MI,Upper Management / Consulting,First-Line Supervisors of Landscaping
MN,Upper Management / Consulting,First-Line Supervisors of Landscaping
MS,Upper Management / Consulting,First-Line Supervisors of Landscaping
MO,Upper Management / Consulting,First-Line Supervisors of Landscaping
MT,Upper Management / Consulting,First-Line Supervisors of Landscaping
NE,Upper Management / Consulting,First-Line Supervisors of Landscaping
NV,Upper Management / Consulting,First-Line Supervisors of Landscaping
NH,Upper Management / Consulting,First-Line Supervisors of Landscaping
NJ,Upper Management / Consulting,First-Line Supervisors of Landscaping
NM,Upper Management / Consulting,First-Line Supervisors of Landscaping
NY,Upper Management / Consulting,First-Line Supervisors of Landscaping
NC,Upper Management / Consulting,First-Line Supervisors of Landscaping
ND,Upper Management / Consulting,First-Line Supervisors of Landscaping
OH,Upper Management / Consulting,First-Line Supervisors of Landscaping
OK,Upper Management / Consulting,First-Line Supervisors of Landscaping
OR,Upper Management / Consulting,First-Line Supervisors of Landscaping
PA,Upper Management / Consulting,First-Line Supervisors of Landscaping
RI,Upper Management / Consulting,First-Line Supervisors of Landscaping
SC,Upper Management / Consulting,First-Line Supervisors of Landscaping
SD,Upper Management / Consulting,First-Line Supervisors of Landscaping
TN,Upper Management / Consulting,First-Line Supervisors of Landscaping
TX,Upper Management / Consulting,First-Line Supervisors of Landscaping
UT,Upper Management / Consulting,First-Line Supervisors of Landscaping
VT,Upper Management / Consulting,First-Line Supervisors of Landscaping
VA,Upper Management / Consulting,First-Line Supervisors of Landscaping
WA,Upper Management / Consulting,First-Line Supervisors of Landscaping
WV,Upper Management / Consulting,First-Line Supervisors of Landscaping
WI,Upper Management / Consulting,First-Line Supervisors of Landscaping
WY,Upper Management / Consulting,First-Line Supervisors of Landscaping
GU,Upper Management / Consulting,First-Line Supervisors of Landscaping
PR,Upper Management / Consulting,First-Line Supervisors of Landscaping
VI,Upper Management / Consulting,First-Line Supervisors of Landscaping
AL,Upper Management / Consulting,First-Line Supervisors of Mechanics
AK,Upper Management / Consulting,First-Line Supervisors of Mechanics
AZ,Upper Management / Consulting,First-Line Supervisors of Mechanics
AR,Upper Management / Consulting,First-Line Supervisors of Mechanics
CA,Upper Management / Consulting,First-Line Supervisors of Mechanics
CO,Upper Management / Consulting,First-Line Supervisors of Mechanics
CT,Upper Management / Consulting,First-Line Supervisors of Mechanics
DE,Upper Management / Consulting,First-Line Supervisors of Mechanics
DC,Upper Management / Consulting,First-Line Supervisors of Mechanics
FL,Upper Management / Consulting,First-Line Supervisors of Mechanics
GA,Upper Management / Consulting,First-Line Supervisors of Mechanics
HI,Upper Management / Consulting,First-Line Supervisors of Mechanics
ID,Upper Management / Consulting,First-Line Supervisors of Mechanics
IL,Upper Management / Consulting,First-Line Supervisors of Mechanics
IN,Upper Management / Consulting,First-Line Supervisors of Mechanics
IA,Upper Management / Consulting,First-Line Supervisors of Mechanics
KS,Upper Management / Consulting,First-Line Supervisors of Mechanics
KY,Upper Management / Consulting,First-Line Supervisors of Mechanics
LA,Upper Management / Consulting,First-Line Supervisors of Mechanics
ME,Upper Management / Consulting,First-Line Supervisors of Mechanics
MD,Upper Management / Consulting,First-Line Supervisors of Mechanics
MA,Upper Management / Consulting,First-Line Supervisors of Mechanics
MI,Upper Management / Consulting,First-Line Supervisors of Mechanics
MN,Upper Management / Consulting,First-Line Supervisors of Mechanics
MS,Upper Management / Consulting,First-Line Supervisors of Mechanics
MO,Upper Management / Consulting,First-Line Supervisors of Mechanics
MT,Upper Management / Consulting,First-Line Supervisors of Mechanics
NE,Upper Management / Consulting,First-Line Supervisors of Mechanics
NV,Upper Management / Consulting,First-Line Supervisors of Mechanics
NH,Upper Management / Consulting,First-Line Supervisors of Mechanics
NJ,Upper Management / Consulting,First-Line Supervisors of Mechanics
NM,Upper Management / Consulting,First-Line Supervisors of Mechanics
NY,Upper Management / Consulting,First-Line Supervisors of Mechanics
NC,Upper Management / Consulting,First-Line Supervisors of Mechanics
ND,Upper Management / Consulting,First-Line Supervisors of Mechanics
OH,Upper Management / Consulting,First-Line Supervisors of Mechanics
OK,Upper Management / Consulting,First-Line Supervisors of Mechanics
OR,Upper Management / Consulting,First-Line Supervisors of Mechanics
PA,Upper Management / Consulting,First-Line Supervisors of Mechanics
RI,Upper Management / Consulting,First-Line Supervisors of Mechanics
SC,Upper Management / Consulting,First-Line Supervisors of Mechanics
SD,Upper Management / Consulting,First-Line Supervisors of Mechanics
TN,Upper Management / Consulting,First-Line Supervisors of Mechanics
TX,Upper Management / Consulting,First-Line Supervisors of Mechanics
UT,Upper Management / Consulting,First-Line Supervisors of Mechanics
VT,Upper Management / Consulting,First-Line Supervisors of Mechanics
VA,Upper Management / Consulting,First-Line Supervisors of Mechanics
WA,Upper Management / Consulting,First-Line Supervisors of Mechanics
WV,Upper Management / Consulting,First-Line Supervisors of Mechanics
WI,Upper Management / Consulting,First-Line Supervisors of Mechanics
WY,Upper Management / Consulting,First-Line Supervisors of Mechanics
GU,Upper Management / Consulting,First-Line Supervisors of Mechanics
PR,Upper Management / Consulting,First-Line Supervisors of Mechanics
VI,Upper Management / Consulting,First-Line Supervisors of Mechanics
AL,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
AK,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
AZ,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
AR,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
CA,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
CO,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
CT,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
DE,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
DC,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
FL,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
GA,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
HI,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
ID,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
IL,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
IN,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
IA,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
KS,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
KY,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
LA,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
ME,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
MD,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
MA,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
MI,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
MN,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
MS,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
MO,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
MT,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
NE,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
NV,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
NH,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
NJ,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
NM,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
NY,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
NC,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
ND,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
OH,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
OK,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
OR,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
PA,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
RI,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
SC,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
SD,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
TN,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
TX,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
UT,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
VT,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
VA,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
WA,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
WV,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
WI,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
WY,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
GU,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
PR,Upper Management / consulting,First-Line Supervisors of Non-Retail Sales Workers
AL,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
AK,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
AZ,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
AR,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
CA,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
CO,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
CT,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
DE,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
DC,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
FL,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
GA,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
HI,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
ID,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
IL,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
IN,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
IA,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
KS,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
KY,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
LA,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
ME,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
MD,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
MA,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
MI,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
MN,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
MS,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
MO,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
MT,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
NE,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
NV,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
NH,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
NJ,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
NM,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
NY,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
NC,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
ND,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
OH,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
OK,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
OR,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
PA,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
RI,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
SC,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
SD,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
TN,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
TX,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
UT,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
VT,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
VA,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
WA,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
WV,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
WI,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
WY,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
GU,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
PR,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
VI,Upper Management / Consulting,First-Line Supervisors of Office and Administrative Support Workers
AL,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
AK,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
AZ,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
AR,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
CA,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
CO,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
CT,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
DE,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
DC,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
FL,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
GA,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
HI,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
ID,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
IL,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
IN,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
IA,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
KS,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
KY,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
LA,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
ME,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
MD,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
MA,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
MI,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
MN,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
MS,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
MO,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
MT,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
NE,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
NV,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
NH,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
NJ,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
NM,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
NY,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
NC,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
ND,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
OH,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
OK,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
OR,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
PA,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
RI,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
SC,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
SD,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
TN,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
TX,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
UT,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
VT,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
VA,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
WA,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
WV,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
WI,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
WY,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
PR,Upper Management / Consulting,First-Line Supervisors of Personal Service Workers
AL,Lega / Paralegal,First-Line Supervisors of Police and Detectives
AK,Lega / Paralegal,First-Line Supervisors of Police and Detectives
AZ,Lega / Paralegal,First-Line Supervisors of Police and Detectives
AR,Lega / Paralegal,First-Line Supervisors of Police and Detectives
CA,Lega / Paralegal,First-Line Supervisors of Police and Detectives
CO,Lega / Paralegal,First-Line Supervisors of Police and Detectives
CT,Lega / Paralegal,First-Line Supervisors of Police and Detectives
DE,Lega / Paralegal,First-Line Supervisors of Police and Detectives
DC,Lega / Paralegal,First-Line Supervisors of Police and Detectives
FL,Lega / Paralegal,First-Line Supervisors of Police and Detectives
GA,Lega / Paralegal,First-Line Supervisors of Police and Detectives
HI,Lega / Paralegal,First-Line Supervisors of Police and Detectives
ID,Lega / Paralegal,First-Line Supervisors of Police and Detectives
IL,Lega / Paralegal,First-Line Supervisors of Police and Detectives
IN,Lega / Paralegal,First-Line Supervisors of Police and Detectives
IA,Lega / Paralegal,First-Line Supervisors of Police and Detectives
KS,Lega / Paralegal,First-Line Supervisors of Police and Detectives
KY,Lega / Paralegal,First-Line Supervisors of Police and Detectives
LA,Lega / Paralegal,First-Line Supervisors of Police and Detectives
ME,Lega / Paralegal,First-Line Supervisors of Police and Detectives
MD,Lega / Paralegal,First-Line Supervisors of Police and Detectives
MA,Lega / Paralegal,First-Line Supervisors of Police and Detectives
MI,Lega / Paralegal,First-Line Supervisors of Police and Detectives
MN,Lega / Paralegal,First-Line Supervisors of Police and Detectives
MS,Lega / Paralegal,First-Line Supervisors of Police and Detectives
MO,Lega / Paralegal,First-Line Supervisors of Police and Detectives
MT,Lega / Paralegal,First-Line Supervisors of Police and Detectives
NE,Lega / Paralegal,First-Line Supervisors of Police and Detectives
NV,Lega / Paralegal,First-Line Supervisors of Police and Detectives
NH,Lega / Paralegal,First-Line Supervisors of Police and Detectives
NJ,Lega / Paralegal,First-Line Supervisors of Police and Detectives
NM,Lega / Paralegal,First-Line Supervisors of Police and Detectives
NY,Lega / Paralegal,First-Line Supervisors of Police and Detectives
NC,Lega / Paralegal,First-Line Supervisors of Police and Detectives
ND,Lega / Paralegal,First-Line Supervisors of Police and Detectives
OH,Lega / Paralegal,First-Line Supervisors of Police and Detectives
OK,Lega / Paralegal,First-Line Supervisors of Police and Detectives
OR,Lega / Paralegal,First-Line Supervisors of Police and Detectives
PA,Lega / Paralegal,First-Line Supervisors of Police and Detectives
RI,Lega / Paralegal,First-Line Supervisors of Police and Detectives
SC,Lega / Paralegal,First-Line Supervisors of Police and Detectives
SD,Lega / Paralegal,First-Line Supervisors of Police and Detectives
TN,Lega / Paralegal,First-Line Supervisors of Police and Detectives
TX,Lega / Paralegal,First-Line Supervisors of Police and Detectives
UT,Lega / Paralegal,First-Line Supervisors of Police and Detectives
VT,Lega / Paralegal,First-Line Supervisors of Police and Detectives
VA,Lega / Paralegal,First-Line Supervisors of Police and Detectives
WA,Lega / Paralegal,First-Line Supervisors of Police and Detectives
WV,Lega / Paralegal,First-Line Supervisors of Police and Detectives
WI,Lega / Paralegal,First-Line Supervisors of Police and Detectives
WY,Lega / Paralegal,First-Line Supervisors of Police and Detectives
PR,Lega / Paralegal,First-Line Supervisors of Police and Detectives
AL,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
AK,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
AZ,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
AR,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
CA,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
CO,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
CT,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
DE,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
DC,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
FL,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
GA,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
HI,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
ID,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
IL,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
IN,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
IA,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
KS,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
KY,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
LA,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
ME,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
MD,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
MA,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
MI,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
MN,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
MS,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
MO,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
MT,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
NE,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
NV,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
NH,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
NJ,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
NM,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
NY,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
NC,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
ND,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
OH,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
OK,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
OR,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
PA,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
RI,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
SC,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
SD,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
TN,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
TX,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
UT,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
VT,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
VA,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
WA,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
WV,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
WI,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
WY,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
GU,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
PR,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
VI,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers
AL,Legal / Paralegal,First-Line Supervisors of Protective Service Workers
AK,Legal / Paralegal,First-Line Supervisors of Protective Service Workers
AZ,Legal / Paralegal,First-Line Supervisors of Protective Service Workers
AR,Legal / Paralegal,First-Line Supervisors of Protective Service Workers
CA,Legal / Paralegal,First-Line Supervisors of Protective Service Workers
